067 81,Belá nad Cirochou
951 75,Beladice
018 03,Belejov
089 01,Belejovce
941 48,Belek
980 01,Belín
986 01,Belina
956 12,Belince
930 52,Bellova Ves
086 14,Beloveža
969 01,Beluj
018 61,Beluša
032 04,Beňadiková
090 42,Beňadikovce
029 63,Beňadovo
072 64,Beňatina
038 42,Benice
930 36,Benkova Potôň
094 02,Benkovce
014 01,Beňov
026 01,Beňova Lehota
976 64,Beňuš
031 01,Beňušovce
900 27,Bernolákovo
082 35,Bertotovce
018 02,Besné
935 36,Beša
076 72,Beša
941 41,Bešeňov
034 83,Bešeňová
053 15,Betlanovce
071 01,Betlenovce
049 21,Betliar
020 01,Bezdedov - Vieska
072 53,Bežovce
076 41,Biel
027 05,Biela
972 29,Biela Voda
976 53,Biele Vody
053 76,Biele Vody
935 74,Bielovce
919 34,Biely Kostol
053 06,Bijacovce
908 77,Bílkove Humence
943 56,Bíňa
053 32,Bindt
919 07,Bíňovce
957 01,Biskupice
986 01,Biskupice
956 07,Biskupová
010 04,Bitarová
930 52,Blahová
930 32,Blatná na Ostrove
072 44,Blatná Polianka
900 82,Blatné
072 44,Blatné Remety
072 43,Blatné Revištia
038 15,Blatnica
023 02,Blažkov
023 11,Blažková
038 44,Blažovce
956 01,Blesovce
980 32,Blhovce
913 25,Bobot
913 25,Bobotská Lehota
029 42,Bobrov
032 21,Bobrovček
032 21,Bobrovec
032 23,Bobrovník
930 31,Bodíky
018 15,Bodiná
956 08,Bodok
038 45,Bodorová
082 66,Bodovce
913 11,Bodovka - Krivosúd
090 05,Bodružal
946 16,Bodza
946 14,Bodzianske Lúky
086 04,Bogliarka
947 03,Bohatá
919 09,Bohdanovce nad Trnavou
929 01,Boheľov
018 52,Bohunice
935 05,Bohunice
919 30,Bohunice
049 12,Bohúňovo
956 01,Bojná
972 01,Bojnice
972 01,Bojnice - kúpele
920 55,Bojničky
946 39,Bokroš
091 01,Bokša
076 53,Boľ
925 26,Boldog
919 08,Boleráz
018 53,Bolešov
984 01,Boľkovce
038 44,Borcová
956 36,Borčany
018 53,Borčice
900 32,Borinka
068 01,Borov
919 61,Borová
922 09,Borovce
908 77,Borský Mikuláš
908 77,Borský Peter
908 79,Borský Svätý Jur
076 32,Borša
935 87,Bory
913 07,Bošáca
956 18,Bošany
913 26,Bošianska Neporadza
076 43,Boťany
980 41,Bottovo
076 62,Božčice
049 42,Bôrka
072 05,Bracovce
982 67,Brádno
951 13,Branč
941 31,Branovo
962 05,Bratkovica
976 64,Braväcovo
049 34,Brdárka
076 05,Brehov
968 01,Brehy
066 01,Brekov
985 53,Brestina
066 01,Brestov
082 05,Brestov
067 01,Brestov nad Laborcom
919 27,Brestovany
916 42,Brestové
946 17,Brestovec
907 01,Brestovec
082 03,Bretejovce
980 46,Bretka
029 53,Breza
972 12,Brezany
010 04,Brezany
076 12,Brezina
962 61,Breziny
091 01,Breznica
985 02,Breznička
091 01,Breznička
957 01,Brezolupy
087 01,Brezov
906 13,Brezová pod Bradlom
067 73,Brezovec
082 74,Brezovica
028 01,Brezovica
082 74,Brezovička
086 11,Brezovka
082 41,Brežany
935 02,Brhlovce
018 22,Briestenné
038 22,Brieštie
029 57,Brišovka
032 23,Brnice
908 85,Brodské
958 42,Brodzany
013 54,Bršlica
976 51,Bruchačka
916 25,Brunovce
090 31,Brusnica
982 65,Brusník
991 01,Brusník
976 62,Brusno
972 32,Brusno
976 62,Brusno - kúpele
053 73,Brutovce
943 55,Bruty
018 12,Brvnište
049 51,Brzotín
086 43,Buclovany
946 35,Búč
919 28,Bučany
029 57,Bučina
916 42,Bučkovec
931 01,Bučuháza
023 36,Budatínska Lehota
962 33,Budča
962 34,Budička
980 23,Budikovany
985 12,Budiná
076 77,Budince
038 23,Budiš
072 15,Budkovce
900 86,Budmerice
082 71,Budzín
053 04,Buglovce
013 61,Buková
919 10,Buková
090 22,Bukovce
906 14,Bukovec
991 02,Bukovec
032 23,Bukovina
968 01,Bukovina
966 01,Bukovina
985 51,Bukovinka
053 14,Bukovinka
986 01,Bulhary
082 33,Bunde
072 44,Bunkovce
991 22,Bušince
059 93,Bušovce
930 39,Búštelek
985 41,Buzitka
977 01,Bystrá
090 23,Bystrá
053 62,Bystrany
094 34,Bystré
972 45,Bystričany
946 38,Bystrička
038 04,Bystrička
985 24,Bystrička
076 13,Byšta
014 01,Bytča
966 01,Bzenica
082 42,Bzenov
956 05,Bzince
916 11,Bzince pod Javorinou
026 01,Bziny
962 41,Bzovík
962 62,Bzovská Lehôtka
